,Clean_Headlines
0," 'The pardon comes weeks before President Biden leaves office and transfers power to President-elect Donald J. Trump, who spent years attacking Hunter Biden over his legal and personal issues.', 'web_url'"
1," 'President Biden complained about selective prosecution and political pressure in a system he has spent his public life defending.', 'web_url'"
2," 'President Biden issued the statement after signing a pardon for Hunter Biden Sunday night.', 'web_url'"
3," 'The president’s son had pleaded guilty to nine federal tax charges and was convicted of three felony counts for lying on a federal firearms application.', 'web_url'"
4," 'Mr. Biden’s plea deal did fall apart at the last minute last year. But it did so after the judge overseeing the case raised issues.', 'web_url'"
5," 'The Office of the Pardon Attorney mostly recommends full pardons for people who have already served their sentences. Hunter Biden has not been sentenced.', 'web_url'"
6," 'A tension between parenthood and politics has defined the Biden presidency.', 'web_url'"
7, 'President Biden and President-elect Donald Trump now agree on one thing
8," 'It sends a signal that Trump’s abuse of the pardon system was not an aberration.', 'web_url'"
9," 'President Biden is facing criticism for pardoning his son Hunter after insisting he would not. Peter Baker, the chief White House correspondent for The New York Times, explains how the decision will shape the outgoing president’s place in history.', 'web_url'"
10," 'The criticism of the president’s pardon of his son from within his own party underscores how far gone his relationship with Democrats in Congress already was.', 'web_url'"
11," 'With the pardon of his son, President Biden added his name to the roll call of presidents who dishonored their office by misusing the pardon power.', 'web_url'"
12," 'The president arrived in Angola, where he will highlight American commitment to Africa in the economic competition against China.', 'web_url'"
13," 'An interview with Senator Laphonza Butler, Democrat of California, during her final week in the Senate.', 'web_url'"
14," 'President Biden granted blanket clemency to stop his son from being prosecuted by the Trump administration for his foreign business. Experts reached for historical parallels.', 'web_url'"
15," 'In his last announced trip abroad as president, Mr. Biden relished touring a U.S.-financed train line in Angola intended to transport goods and critical minerals to port.', 'web_url'"
16," 'In becoming the first American leader to visit Angola, President Biden said it was important not to forget the ugly legacy of the human trade that originally defined relations with Africa.', 'web_url'"
17," 'Lawmakers in the president’s own party, many of them moderates, said his decision to pardon his son was selfish and would further damage Americans’ waning faith in democracy and the rule of law.', 'web_url'"
18," 'The president made his usual stops, expressing gratitude for progress toward peace in the Middle East and urging Americans to stay hopeful.', 'web_url'"
19," 'President Biden wants to make it more difficult for President-elect Donald J. Trump to repeal his signature legislation, which sent money flowing to Republican districts nationwide.', 'web_url'"
20," 'In Angola on likely his last overseas trip in office, the president will tour a slavery museum and spotlight a rail corridor that is part of his administration’s strategy in the region.', 'web_url'"
21," 'The mayor has argued that he was indicted because he criticized border policies. He also said that he has rights that migrants do not because “the Constitution is for Americans.”', 'web_url'"
22," 'The threat of a retribution-focused Trump administration and his son’s looming sentencings prompted the president to abandon a promise not to get involved in Hunter Biden’s legal problems.', 'web_url'"
23," 'President Biden has pardoned people convicted of some marijuana offenses, but advocates for prisoners say he has been slow to grant other requests.', 'web_url'"
24," 'The former president, speaking at the DealBook Summit, suggested that he understood the move but that he wished President Biden “hadn’t said he wasn’t going to do it.”', 'web_url'"
25," 'President Biden, granting clemency to a pair of turkeys in an annual White House ceremony, expressed gratitude for serving as commander in chief.', 'web_url'"
26," 'The Biden administration has hailed South Korea as a model democracy and bolstered military ties as it relies on the country as a bulwark against North Korea, China and Russia.', 'web_url'"
27," 'With a deal to end more than a year of fighting between Israel and Hezbollah, the president turns his attention back to stopping the war in Gaza before leaving office.', 'web_url'"
28," 'President Biden praised the truce, which would stop the fighting between Israel and the Lebanese armed group Hezbollah.', 'web_url'"
29," 'The world is braced for disruption from the president-elect, but he may find more common ground with President Biden than many assume.', 'web_url'"
30," 'While the pardon is legal, the rule of law isn’t maintained by merely keeping to the letter of the law.', 'web_url'"
31," 'President Biden became the first U.S. president to travel to Angola and delivered remarks at the National Museum of Slavery in Luanda.', 'web_url'"
32," 'The gun case federal prosecutors brought against Hunter Biden was relatively rare, but the tax charges he pleaded guilty to may have been less unusual.', 'web_url'"
33," 'The Silicon Valley company will receive less money from the CHIPS Act after winning a $3 billion military contract and changing some of its investment commitments.', 'web_url'"
34," 'Setting aside politics, the president used the lighthearted ceremony to thank the nation one more time for the opportunity to serve.', 'web_url'"
35," 'President João Lourenço of Angola has worked hard to strengthen his country’s partnership with the United States and says the recent election won’t derail that.', 'web_url'"
36," 'A chance meeting in December 2017 plunged Zoë Kestan, a downtown “it” girl and social media star, headlong into an unpredictable affair.', 'web_url'"
37," 'Speaking at The New York Times DealBook Summit, former President Bill Clinton argued that President Biden had reason to issue the pardon, but wished Mr. Biden had not repeatedly said he would not do so.', 'web_url'"
38," 'Top diplomats from the Group of 7 nations tried to project unity on Ukraine while discussing differences over Israel and anticipating the return of Donald J. Trump.', 'web_url'"
39," 'President Biden is facing criticism for absolving his son after insisting he would not and, according to some critics in his own party, paving the way for Donald Trump’s return to office.', 'web_url'"
40," 'Protecting land and appointing judges could go a long way toward bolstering Biden’s legacy.', 'web_url'"
41," 'New rules significantly expand restrictions on selling China chip technology, but critics say they also contain carve-outs that are favorable to industry.', 'web_url'"
42," 'The president said the aid was “urgently needed” as emergency programs face funding shortfalls amid the devastation after Hurricanes Helene and Milton and a string of other natural disasters.', 'web_url'"
43," 'President Biden pledged financial help to protect the Amazon during a visit to Brazil, making one final push to combat climate change before the end of his term.', 'web_url'"
44," 'The return to power of President-elect Donald J. Trump, who has vowed to confront China on tariffs, has created deep uncertainty about the U.S. role in avoiding global conflicts.', 'web_url'"
45," 'The president approved Ukraine’s use of long-range missiles inside Russia, but that decision, among others, may soon be reversed.', 'web_url'"
