,Clean_Headlines
0," 'Hamas is unlikely to compromise in Gaza, despite the decision by its ally, Hezbollah, to stop fighting. A deal in Gaza would also be harder for Benjamin Netanyahu, the Israeli prime minister.', 'web_url'"
1," 'Hamas’s weakened position could leave the territory without any governing institutions.', 'web_url'"
2," 'Omer Neutra, who had Israeli and U.S. dual citizenship, was doing military service in Israel when Hamas invaded. His parents have been high-profile campaigners for the hostages.', 'web_url'"
3," 'The head of the U.N. agency for Palestinian refugees blamed Israel for failing to ensure safe conditions for delivering relief supplies from the Kerem Shalom crossing.', 'web_url'"
4," 'In recent months, soldiers have demolished more than 600 buildings to create a buffer area and expanded a network of bases, a New York Times analysis of satellite imagery and video footage shows.', 'web_url'"
5," 'With a truce between Israel and Hezbollah taking hold, Gazans are losing hope that Israel’s war in the enclave will end anytime soon.', 'web_url'"
6," 'Gazans searched through the rubble after an Israeli strike hit two schools serving as shelters for the displaced.', 'web_url'"
7," 'World leaders failed to focus on a permanent solution to the Israeli-Palestinian conflict and risk making the same mistake again, the departing United Nations’ envoy in the region says.', 'web_url'"
8," 'Can a truce lead to an enduring peace?', 'web_url'"
9," 'President-elect Donald J. Trump said in a social media post on Monday that the hostages must be released before his inauguration in January.', 'web_url'"
10," 'West Bank residents say Israeli forces are adopting tactics similar to the ones they are deploying in Gaza, including airstrikes and the use of Palestinians as human shields.', 'web_url'"
11," 'Most of the medical staff at Kamal Adwan Hospital is gone. One of the last doctors working there shares his story.', 'web_url'"
12," 'While Israel and Hezbollah were finalizing a cease-fire to halt the fighting in Lebanon, Israeli strikes killed 33 people in Gaza, according to local health authorities.', 'web_url'"
13," 'The U.S. veto at the U.N. came as the Biden administration’s envoy in Lebanon reported “additional progress” on cease-fire talks in the war between Israel and Hezbollah.', 'web_url'"
14," 'The International Criminal Court’s arrest warrants for Israel’s Prime Minister Benjamin Netanyahu and his former defense minister, Yoav Gallant, were issued for war crimes and crimes against humanity in Gaza. The court also sought to arrest Hamas’s military chief, Muhammad Deif, for crimes against humanity.', 'web_url'"
15," 'Most people in the enclave are struggling just to survive Israel’s assault on Hamas, and experts say famine is imminent. Yet a few pockets of ordinary life have bloomed in defiance of the war.', 'web_url'"
16," 'The United States said it vetoed the United Nations Security Council resolution calling for a cease-fire between Israel and Hamas, because it did not make the cease-fire contingent on the release of the hostages held in Gaza.', 'web_url'"
17," 'The comments by Moshe Yaalon were swiftly denied and condemned by allies of Prime Minister Benjamin Netanyahu of Israel, who said that they would hurt the country and help its enemies.', 'web_url'"
18," 'A broader peace in the Middle East will be difficult to achieve, and Iran’s threat to Israel looms over any diplomatic effort.', 'web_url'"
19," 'The United States, which has blocked four other resolutions, said it vetoed the most recent version because it did not make the release of hostages a precondition for a truce.', 'web_url'"
20," 'UNRWA, the main U.N. agency aiding Palestinians, said its drivers were forced at gunpoint to unload supplies in what it called one of the worst such incidents of the war.', 'web_url'"
21," 'The UNWRA commissioner general said that Gaza has become an “impossible environment to operate” in after a convoy of aid trucks was looted at gun point.', 'web_url'"
22," 'Institutions meant to promote civility, from soccer to song, have come under severe stress from rising antisemitism and anti-immigrant politics.', 'web_url'"
23," 'It was the first sign of Sasha Troufanov since May, when the Palestinian Islamic Jihad militant group posted two videos of him. His family pressed for the release of all the hostages in Gaza.', 'web_url'"
24," 'As Israel’s military wages a renewed offensive in the northern part of the enclave, Al Bureij and Nuseirat in central Gaza came under attack.', 'web_url'"
25," 'The jurisdiction of the court in The Hague can extend beyond member states.', 'web_url'"
26," 'The court accused Benjamin Netanyahu and his former defense minister of having “intentionally and knowingly deprived” Gaza’s population of food, water, fuel and medicine.', 'web_url'"
27," 'Video on social media, verified by The New York Times, captured a large explosion in a densely populated tent camp. The Israeli military said it targeted a loaded weapons launcher.', 'web_url'"
28," 'The ice cream maker claimed in a lawsuit that its parent company tried to stop it from expressing support for Palestinian refugees.', 'web_url'"
29," 'As he resists pressure to reach a cease-fire that would release the captives, Israel’s prime minister is now offering a reward for their freedom, while still vowing to punish anyone who hurts a hostage.', 'web_url'"
30," 'Israel said its forces had returned to northern Gaza to fight a Hamas resurgence. That has brought a new round of suffering for residents.', 'web_url'"
31," 'The move comes just before a Biden administration deadline for Israel to deliver more aid to the enclave or risk a cutoff of military supplies.', 'web_url'"
32," 'The Biden administration gave Israel 30 days to increase the flow of aid, warning that aid shipments into Gaza in September had reached an alarmingly low level.', 'web_url'"
33," 'The Israeli military said it had been targeting a loaded weapons launcher in the area, where thousands of displaced people are sheltering in a tent camp.', 'web_url'"
34," 'The State Department said Israel needs to take more steps to improve the situation among Palestinians. The United States had given the country 30 days to meet aid criteria.', 'web_url'"
35," 'The strike hit a house in the city of Jabaliya, which has repeatedly come under attack as the Israeli military has pressed an offensive in northern Gaza.', 'web_url'"
36," 'The war in the Middle East has become this era’s most important progressive cause.', 'web_url'"
37," 'The warning focused on the north comes as the Biden administration has set a mid-November deadline for Israel to deliver more humanitarian supplies to the enclave or face a cutoff of weapons aid.', 'web_url'"
38," 'Any major progress on a cease-fire will probably have to wait until after January’s inauguration, analysts said. Gazans said they were divided about whether Mr. Trump would do much to stop the war.', 'web_url'"
39," 'The six hostages, whose bodies were found in Gaza over the summer, were probably shot in February by their captors as an Israeli strike hit close to the tunnel where they were held, the military said.', 'web_url'"
40," 'The Israeli leader’s comments came after President-elect Donald J. Trump threatened to take unspecified action unless the hostages held in Gaza are released by Jan. 20.', 'web_url'"
41," 'Ruth Patir refused to display her video installation at the Israel pavilion until a cease-fire and hostage agreement was reached. “(M)otherland” will debut in Tel Aviv.', 'web_url'"
42," 'The artist, who has supported the protests against the Tate group of museums, won the prestigious British award for an installation that includes a car covered by a giant doily.', 'web_url'"
43," 'The Israeli military said it killed the worker in a strike in Gaza on Saturday. “To the best of our knowledge, no WCK team members are affiliated with Hamas,” a spokeswoman for the aid group said.', 'web_url'"
44," 'The tech giant, which has defended the deal to employees who oppose supplying Israel’s military with technology, feared the project might damage its reputation.', 'web_url'"
45," 'As the truce appeared to largely hold, a deal appeared far away in Gaza, where an Israeli strike killed dozens, according to a rescue group.', 'web_url'"
46," 'Protecting land and appointing judges could go a long way toward bolstering Biden’s legacy.', 'web_url'"
47," 'Some violations of the truce, and some amount of violence, are to be expected, analysts say, and do not necessarily mean the deal will collapse and war will resume anytime soon.', 'web_url'"
48," 'The announcement on Sunday was the second time this weekend that President-elect Donald J. Trump offered an influential post to an in-law.', 'web_url'"
49," 'Diminished support for the Syrian government from Iran, Hezbollah and Russia enabled opposition forces to take the initiative and seize new territory.', 'web_url'"
50," 'Stereotyping Jewish women is dangerously common.', 'web_url'"
51," 'Israel’s offensive against Hezbollah and the cease-fire to stop the fighting in Lebanon have left Hamas increasingly isolated.', 'web_url'"
52," 'The cease-fire appeared to largely be holding, but it was unclear when hundreds of thousands of Lebanese and tens of thousands of Israelis could return to their homes near the border.', 'web_url'"
53," 'The world is braced for disruption from the president-elect, but he may find more common ground with President Biden than many assume.', 'web_url'"
54," 'An investigation into an Israeli tactic in Gaza, and what it reveals about the nature of the war there.', 'web_url'"
55," 'How the president-elect could change the Middle East — for the better.', 'web_url'"
56," 'The cease-fire between Israel and Hezbollah began on Wednesday, but much hardship and uncertainty lie ahead after a yearlong war that killed thousands and left widespread destruction in Lebanon.', 'web_url'"
57," 'Israel said it had targeted militants headed to a rocket facility, but neither Israel nor Hezbollah seemed keen to immediately return to full-scale fighting.', 'web_url'"
58," 'As Iran faces domestic and foreign challenges, its bellicose rhetoric on the United States and Israel has given way to signs that it wants less confrontation.', 'web_url'"
59," 'Israel has decimated Hezbollah’s senior leadership and military infrastructure.', 'web_url'"
60," 'While there were limited signs of life in the area, most residents were hesitant to head back without greater certainty that the cease-fire with Hezbollah would hold.', 'web_url'"
61," 'Under the agreement, Israel will gradually withdraw its forces from Lebanon over the next 60 days, and Hezbollah will not entrench itself near the Israeli border.', 'web_url'"
62," 'Thirteen months of war left Hezbollah weakened, isolated and desperate for a way to stop the fighting.', 'web_url'"
63," 'With a deal to end more than a year of fighting between Israel and Hezbollah, the president turns his attention back to stopping the war in Gaza before leaving office.', 'web_url'"
64," 'After the Israeli government delayed a formal investigation into the Hamas attacks, an alliance of survivors and victims’ families set up their own inquiry. Their scathing findings were released on Tuesday.', 'web_url'"
65," 'The truce began Wednesday, bringing a fragile peace to Israel and Lebanon. Israeli troops are to withdraw in phases  from southern Lebanon, and Lebanese military convoys headed south to protect the peace.', 'web_url'"
66," 'President Biden said the 60-day truce, which the United States helped broker, would take effect early Wednesday, and was intended to become permanent, ending Lebanon’s deadliest war in decades.', 'web_url'"
67," 'Top diplomats from the Group of 7 nations tried to project unity on Ukraine while discussing differences over Israel and anticipating the return of Donald J. Trump.', 'web_url'"
68," 'Even as President Biden brokers a cease-fire in Lebanon, President-elect Donald J. Trump is running his own foreign policy without waiting to be sworn in.', 'web_url'"
69," 'Three giant, shifting tectonic plates will have profound implications for the new administration.', 'web_url'"
70," 'A speech by the artist at an exhibition of her work was followed by protests from her supporters and an uproar in the news media.', 'web_url'"
71," 'Researchers are trying to understand why resistant pathogens are so prevalent in the war-torn nations of the Middle East.', 'web_url'"
